VSP_w,eng_on,mot_control,HVAC_adjust_rate,t_value,delta_elec_energy_rate
30000,1,0,0.037590428,2.327360935,18.795214
31000,1,0,0.037590428,2.327360935,18.795214
32000,1,0,0.037590428,2.327360935,18.795214
33000,1,0,0.037590428,2.327360935,18.795214
34000,1,0,0.037590428,2.327360935,18.795214
35000,1,0,0.037590428,2.327360935,18.795214
36000,1,0,0.037590428,2.327360935,18.795214
37000,1,0,0.037590428,2.327360935,18.795214
38000,1,0,0.037590428,2.327360935,18.795214
39000,1,0,0.037590428,2.327360935,18.795214
40000,1,0,0.037590428,2.327360935,18.795214
41000,1,0,0.037590428,2.327360935,18.795214
42000,1,0,0.037590428,2.327360935,18.795214
43000,1,0,0.037590428,2.327360935,18.795214
44000,1,0,0.037590428,2.327360935,18.795214
45000,1,0,0.037590428,2.327360935,18.795214
46000,1,0,0.037590428,2.327360935,18.795214
47000,1,0,0.037590428,2.327360935,18.795214
48000,1,0,0.037590428,2.327360935,18.795214
49000,1,0,0.037590428,2.327360935,18.795214
50000,1,0,0.037590428,2.327360935,18.795214
51000,1,0,0.037590428,2.327360935,18.795214
52000,1,0,0.037590428,2.327360935,18.795214
53000,1,0,0.037590428,2.327360935,18.795214
54000,1,0,0.037590428,2.327360935,18.795214
55000,1,0,0.037590428,2.327360935,18.795214
56000,1,0,0.037590428,2.327360935,18.795214
57000,1,0,0.037590428,2.327360935,18.795214
58000,1,0,0.037590428,2.327360935,18.795214
59000,1,0,0.037590428,2.327360935,18.795214
